Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,45759,464,6,1439,61.22,0.219%,210.37944,9303.12,220.53,45282.0
TOTAL,45759,464,6,1439,61.22,0.219%,210.37944,9303.12,220.53,45282.0
